TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
353	559	1,582791	6,155371	0	0	0
354	558	1,583933	6,15125	0	0	0
355	553	1,585073	6,148218	0	0	0
356	556	1,586085	6,160238	0	0	0
357	556	1,588282	6,144636	0	0	0
358	556	1,59016	6,140355	0	0	0
359	563	1,589184	6,133959	0	0	0
360	561	1,588632	6,131584	0	0	0
361	557	1,584257	6,139788	0	0	0
362	558	1,584718	6,12211	0	0	0
363	563	1,581951	6,105939	0	0	0
364	565	1,581554	6,098868	0	0	0
365	566	1,580285	6,092795	0	0	0
366	566	1,578148	6,096254	0	0	0
367	568	1,575382	6,09005	0	0	0
368	567	1,570883	6,090624	0	0	0
369	567	1,567457	6,093024	0	0	0
370	561	1,56583	6,098482	0	0	0
371	557	1,566599	6,109181	0	0	0
372	559	1,570468	6,10505	0	0	0
373	558	1,569954	6,098207	0	0	0
374	559	1,571515	6,107308	0	0	0
375	558	1,568939	6,099905	0	0	0
376	557	1,568661	6,107351	0	0	0
377	558	1,5721	6,112356	0	0	0
378	559	1,570178	6,110006	0	0	0
379	560	1,570995	6,111838	0	0	0
380	557	1,572086	6,113156	0	0	0
381	561	1,565672	6,116009	0	0	0
382	557	1,568825	6,12466	0	0	0
383	557	1,566361	6,131493	0	0	0
384	559	1,56203	6,136234	0	0	0
385	563	1,564422	6,133366	0	0	0
386	565	1,56586	6,147361	0	0	0
387	566	1,56828	6,134152	0	0	0
388	566	1,564514	6,116159	0	0	0
389	563	1,566583	6,095241	0	0	0
390	563	1,570196	6,108824	0	0	0
391	563	1,572115	6,11517	0	0	0
392	563	1,573348	6,107317	0	0	0
393	556	1,568006	6,106314	0	0	0
394	557	1,568276	6,108502	0	0	0
395	554	1,569444	6,101618	0	0	0
396	550	1,569389	6,087871	0	0	0
397	550	1,569233	6,092538	0	0	0
398	552	1,569883	6,09509	0	0	0
399	550	1,566736	6,08813	0	0	0
400	550	1,566513	6,087805	0	0	0
401	551	1,566583	6,091127	0	0	0
402	551	1,574368	6,093323	0	0	0
403	555	1,574697	6,085224	0	0	0
404	556	1,570765	6,08174	0	0	0
405	560	1,567607	6,084182	0	0	0
406	560	1,567572	6,085565	0	0	0
407	556	1,575263	6,088389	0	0	0
408	559	1,5732	6,083517	0	0	0
409	559	1,577296	6,079412	0	0	0
410	561	1,579292	6,06773	0	0	0
