TimeStep	 Blip Population	 Blip Speed	 Blip Vision	 Blips Born	 Blips Died	 Predator Population	 Predator Speed	 Predator Vision	 Predators Born	 Predators Died
241	233	1,62527	8,387358	6	9	10	2,808391	8,745625	0	0
242	233	1,628785	8,375909	4	4	10	2,808391	8,745625	0	0
243	230	1,626366	8,402215	5	8	10	2,808391	8,745625	0	0
244	233	1,629571	8,414976	7	4	10	2,808391	8,745625	0	0
245	236	1,631639	8,425591	7	4	10	2,808391	8,745625	0	0
246	234	1,632096	8,410706	4	6	10	2,808391	8,745625	0	0
247	240	1,633564	8,416245	8	2	10	2,808391	8,745625	0	0
248	237	1,632776	8,427405	2	5	10	2,808391	8,745625	0	0
249	237	1,630437	8,421334	5	5	10	2,808391	8,745625	0	0
250	229	1,625431	8,421551	1	9	10	2,808391	8,745625	0	0
251	230	1,6248	8,427091	4	3	9	2,780425	8,7906	0	1
252	234	1,625226	8,432082	6	2	9	2,780425	8,7906	0	0
253	233	1,625171	8,416153	2	3	9	2,780425	8,7906	0	0
254	236	1,629087	8,449539	6	3	9	2,780425	8,7906	0	0
255	236	1,636687	8,425633	5	5	9	2,780425	8,7906	0	0
256	238	1,637722	8,405914	8	6	9	2,780425	8,7906	0	0
257	235	1,641126	8,393881	3	6	9	2,780425	8,7906	0	0
258	234	1,64251	8,407434	3	4	9	2,780425	8,7906	0	0
259	236	1,642483	8,399667	4	2	9	2,780425	8,7906	0	0
260	235	1,64133	8,421583	3	4	8	2,784411	8,74916	0	1
261	235	1,637155	8,442397	6	6	8	2,784411	8,74916	0	0
262	238	1,637503	8,443562	4	1	8	2,784411	8,74916	0	0
263	234	1,634498	8,456835	5	9	8	2,784411	8,74916	0	0
264	232	1,634739	8,488703	3	5	8	2,784411	8,74916	0	0
265	230	1,639404	8,452103	5	7	8	2,784411	8,74916	0	0
266	230	1,641294	8,444612	7	7	8	2,784411	8,74916	0	0
267	229	1,655129	8,450296	4	5	8	2,784411	8,74916	0	0
268	230	1,660305	8,427054	5	4	8	2,784411	8,74916	0	0
269	230	1,660251	8,394796	3	3	8	2,784411	8,74916	0	0
270	229	1,658807	8,388882	4	5	8	2,784411	8,74916	0	0
271	231	1,659193	8,42706	5	3	8	2,784411	8,74916	0	0
272	233	1,652019	8,456626	8	6	8	2,784411	8,74916	0	0
273	229	1,651745	8,486154	2	6	8	2,784411	8,74916	0	0
274	224	1,646936	8,475944	2	7	8	2,784411	8,74916	0	0
275	226	1,652936	8,469613	5	3	8	2,784411	8,74916	0	0
276	225	1,651569	8,480388	5	6	8	2,784411	8,74916	0	0
277	225	1,654985	8,464118	5	5	8	2,784411	8,74916	0	0
278	227	1,654515	8,461742	4	2	8	2,784411	8,74916	0	0
279	228	1,647455	8,469305	6	5	8	2,784411	8,74916	0	0
280	227	1,648034	8,484603	4	5	8	2,784411	8,74916	0	0
281	224	1,647696	8,487489	5	8	8	2,784411	8,74916	0	0
282	227	1,648617	8,469944	8	5	8	2,784411	8,74916	0	0
283	227	1,656374	8,46464	7	7	8	2,784411	8,74916	0	0
284	228	1,656966	8,473852	3	2	8	2,784411	8,74916	0	0
285	227	1,654468	8,46959	1	2	8	2,784411	8,74916	0	0
286	228	1,654877	8,462675	6	5	8	2,784411	8,74916	0	0
287	227	1,661483	8,451459	3	4	7	2,768182	8,753978	0	1
288	227	1,652279	8,460167	5	5	7	2,768182	8,753978	0	0
289	226	1,651243	8,461967	3	4	7	2,768182	8,753978	0	0
290	229	1,649639	8,462927	5	2	7	2,768182	8,753978	0	0
291	228	1,644894	8,440993	6	7	7	2,768182	8,753978	0	0
292	233	1,646371	8,435098	9	4	7	2,768182	8,753978	0	0
293	231	1,649763	8,425389	3	5	7	2,768182	8,753978	0	0
294	230	1,658487	8,418568	6	7	7	2,768182	8,753978	0	0
295	232	1,662156	8,429251	8	6	7	2,768182	8,753978	0	0
296	233	1,661608	8,440512	5	4	7	2,768182	8,753978	0	0
297	227	1,665002	8,45141	2	8	7	2,768182	8,753978	0	0
298	228	1,665725	8,476223	2	1	7	2,768182	8,753978	0	0
299	225	1,669262	8,471482	2	5	7	2,768182	8,753978	0	0
300	227	1,674095	8,474292	3	1	7	2,768182	8,753978	0	0
301	228	1,676233	8,447925	5	4	7	2,768182	8,753978	0	0
302	225	1,677595	8,437241	3	6	7	2,768182	8,753978	0	0
303	226	1,67659	8,436692	3	2	7	2,768182	8,753978	0	0
304	228	1,675485	8,396682	8	6	7	2,768182	8,753978	0	0
305	226	1,668597	8,432899	3	5	7	2,768182	8,753978	0	0
306	223	1,680329	8,441215	6	9	9	2,773932	8,761897	2	0
307	224	1,684402	8,43699	6	5	9	2,773932	8,761897	0	0
308	226	1,680993	8,421028	6	4	9	2,773932	8,761897	0	0
309	227	1,688933	8,435736	6	5	9	2,773932	8,761897	0	0
310	229	1,687409	8,402658	5	3	9	2,773932	8,761897	0	0
311	225	1,694812	8,36098	4	8	9	2,773932	8,761897	0	0
312	224	1,699643	8,363643	5	6	9	2,773932	8,761897	0	0
313	224	1,703328	8,348688	5	5	8	2,806955	8,737812	0	1
314	222	1,708713	8,328636	2	4	8	2,806955	8,737812	0	0
315	223	1,717376	8,338846	6	5	8	2,806955	8,737812	0	0
316	218	1,714945	8,337856	2	7	9	2,759741	8,731472	1	0
317	218	1,708261	8,334019	4	4	9	2,759741	8,731472	0	0
318	216	1,71165	8,333152	3	5	9	2,759741	8,731472	0	0
319	219	1,71006	8,327536	7	4	9	2,759741	8,731472	0	0
320	221	1,712175	8,3527	6	4	9	2,759741	8,731472	0	0
321	223	1,710706	8,327563	7	5	9	2,759741	8,731472	0	0
322	218	1,710665	8,299888	3	8	9	2,759741	8,731472	0	0
323	220	1,714388	8,279667	4	2	9	2,759741	8,731472	0	0
324	220	1,716109	8,257401	3	3	8	2,782705	8,671694	0	1
325	220	1,718098	8,276131	5	5	8	2,782705	8,671694	0	0
326	220	1,718577	8,271174	5	5	8	2,782705	8,671694	0	0
327	219	1,718461	8,300555	3	4	8	2,782705	8,671694	0	0
328	223	1,721609	8,298544	7	3	8	2,782705	8,671694	0	0
329	219	1,727965	8,269737	2	6	8	2,782705	8,671694	0	0
